,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
103,bing,resnet,bing,50/50,ensamble,0.9541833
104,bing,vgg,bing,20/80,ensamble,0.9179245
105,bing,vgg,bing,30/70,ensamble,0.93731636
106,bing,vgg,bing,40/60,ensamble,0.9518132
107,bing,vgg,bing,50/50,ensamble,0.95019925
108,bing,alexnet,google,20/80,ensamble,0.8329699
109,bing,alexnet,google,30/70,ensamble,0.87373275
110,bing,alexnet,google,40/60,ensamble,0.85995317
111,bing,alexnet,google,50/50,ensamble,0.85953873
112,bing,resnet,google,20/80,ensamble,0.90648144
113,bing,resnet,google,30/70,ensamble,0.9284351
114,bing,resnet,google,40/60,ensamble,0.94187784
115,bing,resnet,google,50/50,ensamble,0.9379036
116,bing,vgg,google,20/80,ensamble,0.8943758
117,bing,vgg,google,30/70,ensamble,0.93242586
118,bing,vgg,google,40/60,ensamble,0.9451986
119,bing,vgg,google,50/50,ensamble,0.9430894
120,bing,alexnet,bing,20/80,gaussian,0.85549134
121,bing,alexnet,bing,30/70,gaussian,0.87540525
122,bing,alexnet,bing,40/60,gaussian,0.8997578
123,bing,alexnet,bing,50/50,gaussian,0.9078947
124,bing,resnet,bing,20/80,gaussian,0.9182625
125,bing,resnet,bing,30/70,gaussian,0.9326275
126,bing,resnet,bing,40/60,gaussian,0.946907
127,bing,resnet,bing,50/50,gaussian,0.954
128,bing,vgg,bing,20/80,gaussian,0.91950756
129,bing,vgg,bing,30/70,gaussian,0.93417233
130,bing,vgg,bing,40/60,gaussian,0.9499752
131,bing,vgg,bing,50/50,gaussian,0.9551637
132,bing,alexnet,google,20/80,gaussian,0.8457399
133,bing,alexnet,google,30/70,gaussian,0.8816596
134,bing,alexnet,google,40/60,gaussian,0.8914005
135,bing,alexnet,google,50/50,gaussian,0.8873097
136,bing,resnet,google,20/80,gaussian,0.87125224
137,bing,resnet,google,30/70,gaussian,0.923882
138,bing,resnet,google,40/60,gaussian,0.9405941
139,bing,resnet,google,50/50,gaussian,0.9377215
140,bing,vgg,google,20/80,gaussian,0.8942792
141,bing,vgg,google,30/70,gaussian,0.92946863
142,bing,vgg,google,40/60,gaussian,0.9459593
143,bing,vgg,google,50/50,gaussian,0.9432624
144,bing,alexnet,bing,20/80,nonMath,0.8510079
