,source_dataset,target_model,target_dataset,target_balancing,target_adv_training,baseline_f1
104,bing,vgg,bing,20/80,ensamble,0.9689019
105,bing,vgg,bing,30/70,ensamble,0.977887
106,bing,vgg,bing,40/60,ensamble,0.9797531
107,bing,vgg,bing,50/50,ensamble,0.9815646
108,bing,alexnet,google,20/80,ensamble,0.9403272
109,bing,alexnet,google,30/70,ensamble,0.95125556
110,bing,alexnet,google,40/60,ensamble,0.95472443
111,bing,alexnet,google,50/50,ensamble,0.95743614
112,bing,resnet,google,20/80,ensamble,0.9660194
113,bing,resnet,google,30/70,ensamble,0.97924906
114,bing,resnet,google,40/60,ensamble,0.9760956
115,bing,resnet,google,50/50,ensamble,0.97995985
116,bing,vgg,google,20/80,ensamble,0.97315764
117,bing,vgg,google,30/70,ensamble,0.97738445
118,bing,vgg,google,40/60,ensamble,0.9816559
119,bing,vgg,google,50/50,ensamble,0.9809619
120,bing,alexnet,bing,20/80,gaussian,0.93821293
121,bing,alexnet,bing,30/70,gaussian,0.9460663
122,bing,alexnet,bing,40/60,gaussian,0.9506903
123,bing,alexnet,bing,50/50,gaussian,0.9623016
124,bing,resnet,bing,20/80,gaussian,0.96846193
125,bing,resnet,bing,30/70,gaussian,0.9783251
126,bing,resnet,bing,40/60,gaussian,0.98058736
127,bing,resnet,bing,50/50,gaussian,0.9829489
128,bing,vgg,bing,20/80,gaussian,0.9731314
129,bing,vgg,bing,30/70,gaussian,0.9793308
130,bing,vgg,bing,40/60,gaussian,0.979713
131,bing,vgg,bing,50/50,gaussian,0.9835247
132,bing,alexnet,google,20/80,gaussian,0.93893135
133,bing,alexnet,google,30/70,gaussian,0.95062923
134,bing,alexnet,google,40/60,gaussian,0.958457
135,bing,alexnet,google,50/50,gaussian,0.962668
136,bing,resnet,google,20/80,gaussian,0.971652
137,bing,resnet,google,30/70,gaussian,0.9773399
138,bing,resnet,google,40/60,gaussian,0.97748876
139,bing,resnet,google,50/50,gaussian,0.97833747
140,bing,vgg,google,20/80,gaussian,0.97270954
141,bing,vgg,google,30/70,gaussian,0.97836775
142,bing,vgg,google,40/60,gaussian,0.9816741
143,bing,vgg,google,50/50,gaussian,0.9808854
144,bing,alexnet,bing,20/80,nonMath,0.9258049
145,bing,alexnet,bing,30/70,nonMath,0.9470102
146,bing,alexnet,bing,40/60,nonMath,0.955
147,bing,alexnet,bing,50/50,nonMath,0.95980144
148,bing,resnet,bing,20/80,nonMath,0.9670223
149,bing,resnet,bing,30/70,nonMath,0.9763779
150,bing,resnet,bing,40/60,nonMath,0.9814722
151,bing,resnet,bing,50/50,nonMath,0.983
152,bing,vgg,bing,20/80,nonMath,0.9637506
153,bing,vgg,bing,30/70,nonMath,0.9750611
154,bing,vgg,bing,40/60,nonMath,0.9801391
155,bing,vgg,bing,50/50,nonMath,0.983639
156,bing,alexnet,google,20/80,nonMath,0.94276094
157,bing,alexnet,google,30/70,nonMath,0.9508993
158,bing,alexnet,google,40/60,nonMath,0.9552385
159,bing,alexnet,google,50/50,nonMath,0.95889056
160,bing,resnet,google,20/80,nonMath,0.97209984
161,bing,resnet,google,30/70,nonMath,0.9746647
162,bing,resnet,google,40/60,nonMath,0.975976
163,bing,resnet,google,50/50,nonMath,0.9768379
164,bing,vgg,google,20/80,nonMath,0.9760392
165,bing,vgg,google,30/70,nonMath,0.9807976
166,bing,vgg,google,40/60,nonMath,0.97870237
167,bing,vgg,google,50/50,nonMath,0.9824385
168,bing,alexnet,bing,20/80,saltPepper,0.93082356
169,bing,alexnet,bing,30/70,saltPepper,0.94123363
170,bing,alexnet,bing,40/60,saltPepper,0.9374389
171,bing,alexnet,bing,50/50,saltPepper,0.95773244
172,bing,resnet,bing,20/80,saltPepper,0.9697561
173,bing,resnet,bing,30/70,saltPepper,0.9787864
174,bing,resnet,bing,40/60,saltPepper,0.982561
175,bing,resnet,bing,50/50,saltPepper,0.98242086
176,bing,vgg,bing,20/80,saltPepper,0.9731314
177,bing,vgg,bing,30/70,saltPepper,0.9807217
178,bing,vgg,bing,40/60,saltPepper,0.98214287
179,bing,vgg,bing,50/50,saltPepper,0.9825087
180,bing,alexnet,google,20/80,saltPepper,0.9391472
181,bing,alexnet,google,30/70,saltPepper,0.95224315
182,bing,alexnet,google,40/60,saltPepper,0.9590528
183,bing,alexnet,google,50/50,saltPepper,0.9567379
184,bing,resnet,google,20/80,saltPepper,0.97268295
185,bing,resnet,google,30/70,saltPepper,0.97577846
186,bing,resnet,google,40/60,saltPepper,0.98107576
187,bing,resnet,google,50/50,saltPepper,0.9833754
188,bing,vgg,google,20/80,saltPepper,0.9717348
189,bing,vgg,google,30/70,saltPepper,0.9793104
190,bing,vgg,google,40/60,saltPepper,0.981038
191,bing,vgg,google,50/50,saltPepper,0.9828974
192,bing,alexnet,bing,20/80,surrogate,0.91674376
193,bing,alexnet,bing,30/70,surrogate,0.9507077
194,bing,alexnet,bing,40/60,surrogate,0.9480455
195,bing,alexnet,bing,50/50,surrogate,0.9554455
196,bing,resnet,bing,20/80,surrogate,0.9721272
197,bing,resnet,bing,30/70,surrogate,0.9762376
198,bing,resnet,bing,40/60,surrogate,0.9769308
199,bing,resnet,bing,50/50,surrogate,0.982
200,bing,vgg,bing,20/80,surrogate,0.97126156
201,bing,vgg,bing,30/70,surrogate,0.9792899
202,bing,vgg,bing,40/60,surrogate,0.9801391
203,bing,vgg,bing,50/50,surrogate,0.98113203
204,bing,alexnet,google,20/80,surrogate,0.9305887
205,bing,alexnet,google,30/70,surrogate,0.9432864
206,bing,alexnet,google,40/60,surrogate,0.95760596
207,bing,alexnet,google,50/50,surrogate,0.9576904
208,bing,resnet,google,20/80,surrogate,0.9716797
209,bing,resnet,google,30/70,surrogate,0.97880733
