,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SplitMergeRGB,manWoman,alexnet,20_80,bing,0.7421768307685852,1,0.30232558,0.6842105263157895,0.0
1,SplitMergeRGB,manWoman,alexnet,30_70,bing,0.7421768307685852,1,0.26415095,0.5564516129032258,0.0070921985815602835
2,SplitMergeRGB,manWoman,alexnet,40_60,bing,0.7421768307685852,1,0.22463769,0.4420289855072464,0.007246376811594203
3,SplitMergeRGB,manWoman,alexnet,50_50,bing,0.7421768307685852,1,0.19117647,0.3381294964028777,0.03759398496240601
4,SplitMergeRGB,manWoman,resnet,20_80,bing,0.7421768307685852,1,0.19494584,0.4090909090909091,0.0
5,SplitMergeRGB,manWoman,resnet,30_70,bing,0.7421768307685852,1,0.15734266,0.3120567375886525,0.006896551724137931
6,SplitMergeRGB,manWoman,resnet,40_60,bing,0.7421768307685852,1,0.16549295,0.32867132867132864,0.0
7,SplitMergeRGB,manWoman,resnet,50_50,bing,0.7421768307685852,1,0.10069445,0.18493150684931506,0.014084507042253521
8,SplitMergeRGB,manWoman,vgg,20_80,bing,0.7421768307685852,1,0.23826715,0.48872180451127817,0.006944444444444444
9,SplitMergeRGB,manWoman,vgg,30_70,bing,0.7421768307685852,1,0.1768953,0.362962962962963,0.0
10,SplitMergeRGB,manWoman,vgg,40_60,bing,0.7421768307685852,1,0.14134276,0.27972027972027974,0.0
11,SplitMergeRGB,manWoman,vgg,50_50,bing,0.7421768307685852,1,0.09859155,0.1958041958041958,0.0
12,SplitMergeRGB,manWoman,alexnet,20_80,google,0.7686944007873535,1,0.34567901,0.8155339805825242,0.0
13,SplitMergeRGB,manWoman,alexnet,30_70,google,0.7686944007873535,1,0.30739298,0.5932203389830508,0.06474820143884892
14,SplitMergeRGB,manWoman,alexnet,40_60,google,0.7686944007873535,1,0.29007635,0.5116279069767442,0.07518796992481203
15,SplitMergeRGB,manWoman,alexnet,50_50,google,0.7686944007873535,1,0.29056603,0.3161764705882353,0.26356589147286824
16,SplitMergeRGB,manWoman,resnet,20_80,google,0.7686944007873535,1,0.13483146,0.24390243902439024,0.041666666666666664
17,SplitMergeRGB,manWoman,resnet,30_70,google,0.7686944007873535,1,0.09398496,0.109375,0.07971014492753623
18,SplitMergeRGB,manWoman,resnet,40_60,google,0.7686944007873535,1,0.10989011,0.1258741258741259,0.09230769230769231
19,SplitMergeRGB,manWoman,resnet,50_50,google,0.7686944007873535,1,0.09558824,0.1048951048951049,0.08527131782945736
20,SplitMergeRGB,manWoman,vgg,20_80,google,0.7686944007873535,1,0.14285715,0.3220338983050847,0.0
21,SplitMergeRGB,manWoman,vgg,30_70,google,0.7686944007873535,1,0.13669065,0.27007299270072993,0.0070921985815602835
22,SplitMergeRGB,manWoman,vgg,40_60,google,0.7686944007873535,1,0.12,0.2357142857142857,0.0
23,SplitMergeRGB,manWoman,vgg,50_50,google,0.7686944007873535,1,0.10294118,0.18571428571428572,0.015151515151515152
