,attack,model,dataset,balance,best_eps
121,GreyScale,alexnet,bing,30_70,1.0
122,GreyScale,alexnet,bing,40_60,1.0
123,GreyScale,alexnet,bing,50_50,1.0
124,GreyScale,resnet,bing,20_80,1.0
125,GreyScale,resnet,bing,30_70,1.0
126,GreyScale,resnet,bing,40_60,1.0
127,GreyScale,resnet,bing,50_50,1.0
128,GreyScale,vgg,bing,20_80,1.0
129,GreyScale,vgg,bing,30_70,1.0
130,GreyScale,vgg,bing,40_60,1.0
131,GreyScale,vgg,bing,50_50,1.0
132,GreyScale,alexnet,google,20_80,1.0
133,GreyScale,alexnet,google,30_70,1.0
134,GreyScale,alexnet,google,40_60,1.0
135,GreyScale,alexnet,google,50_50,1.0
136,GreyScale,resnet,google,20_80,1.0
137,GreyScale,resnet,google,30_70,1.0
138,GreyScale,resnet,google,40_60,1.0
139,GreyScale,resnet,google,50_50,1.0
140,GreyScale,vgg,google,20_80,1.0
141,GreyScale,vgg,google,30_70,1.0
142,GreyScale,vgg,google,40_60,1.0
143,GreyScale,vgg,google,50_50,1.0
144,InvertColor,alexnet,bing,20_80,1.0
145,InvertColor,alexnet,bing,30_70,1.0
146,InvertColor,alexnet,bing,40_60,1.0
147,InvertColor,alexnet,bing,50_50,1.0
148,InvertColor,resnet,bing,20_80,1.0
149,InvertColor,resnet,bing,30_70,1.0
150,InvertColor,resnet,bing,40_60,1.0
151,InvertColor,resnet,bing,50_50,1.0
152,InvertColor,vgg,bing,20_80,1.0
153,InvertColor,vgg,bing,30_70,1.0
154,InvertColor,vgg,bing,40_60,1.0
155,InvertColor,vgg,bing,50_50,1.0
156,InvertColor,alexnet,google,20_80,1.0
157,InvertColor,alexnet,google,30_70,1.0
158,InvertColor,alexnet,google,40_60,1.0
159,InvertColor,alexnet,google,50_50,1.0
160,InvertColor,resnet,google,20_80,1.0
161,InvertColor,resnet,google,30_70,1.0
162,InvertColor,resnet,google,40_60,1.0
163,InvertColor,resnet,google,50_50,1.0
